results random forest,,,,,,,,,results KNN,,,,,,,,,,results CNN,,,,,,,,,,,,,results XGBOOST,run_name,accuracy,precision,recall,f1,,,,
run,accuracy,precision,recall,f1,,,,,run,raw_accuracy,raw_precision,raw_recall,raw_f1,feat_accuracy,feat_precision,feat_recall,feat_f1,,,model,accuracy,recall,precision,F1 score,,,,,,,,,xgb_lr0.01_n50_d3_sub0.8_col0.6_mcw1,0.658,0.69722977,0.658,0.65067144,,,,V
RF_e200_d20_l10_flog2,0.766,0.79647619,0.766,0.745123932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub1.0_col0.8_mcw1,0.774,0.806517677,0.774,0.770167582,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d3_sub1.0_col0.8_mcw5,0.782,0.824521645,0.782,0.78191922,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub0.8_col0.6_mcw1,0.792,0.831870491,0.792,0.789360639,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub0.8_col0.6_mcw5,0.812,0.837936508,0.812,0.81038406,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub0.8_col0.8_mcw1,0.798,0.835898629,0.798,0.796242452,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub0.8_col0.8_mcw5,0.808,0.832996032,0.808,0.804274614,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub1.0_col0.6_mcw1,0.792,0.823829365,0.792,0.78970252,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub1.0_col0.6_mcw5,0.81,0.847746032,0.81,0.807941947,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub1.0_col0.8_mcw1,0.792,0.829206349,0.792,0.789461649,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.1_n100_d6_sub1.0_col0.8_mcw5,0.806,0.83575,0.806,0.800358308,,,,
